platform,referral link,brand,price,discount,commission,Start date,End date,affilate_page_internal_link
amazon associates,https://www.amazon.com/California-Design-Den-Luxurious-Sheets/dp/B07ZYXGP6N?c=ts&dib=eyJ2IjoiMSJ9.Gn_0GcX8pmjmiYFTUY0Jfip22H0tU7X1S72UB4R0-AJer8wid1ym9fkJ9GeVdL87VKYg9qWDTiodpS_wZRdKH68aJY3hEI5WH6On7yMxKh_WR0fl2s3DfHGeardy89i2XQyYUOV--ZTrf5JSirdfQpOmVqR5VGa7WDz9odx0DtfV1CdfrBCbzvLkcbZ9y6I72Gigcpq_e-EOw-Ijfm1MKTban1Ie8N9w8vnBVxeqECNVNV-m7YbMKf2l3q7lnuxEkUfHIWGrTwmo3AF-e2SwAkftq_4k7AeZL7SHrMOL5Os.EiATbAVeE_cUg4zjhWZu3QGknyZGsiiLt2UbqH6XoTQ&dib_tag=se&keywords=Sheets%2B%26%2BPillowcases&qid=1757595270&refinements=p_36%3A11500-&rnid=386465011&s=bedbath&sr=1-2-spons&ts_id=1063274&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1&linkCode=ll1&tag=homeprinciple-20&linkId=07b6bba1047ea0ee0d9dd0a1d3e1a065&language=en_US&ref_=as_li_ss_tl,California Design Den,124,,10,"Sep 10, 2025 09:59 GMT+46","Oct 15, 2025 09:59 GMT+3",
amazon associates,https://www.amazon.com/BOLL-BRANCH-Signature-Hemmed-Sheet/dp/B0DTBJ75JP?c=ts&dib=eyJ2IjoiMSJ9.Gn_0GcX8pmjmiYFTUY0Jfip22H0tU7X1S72UB4R0-AJer8wid1ym9fkJ9GeVdL87VKYg9qWDTiodpS_wZRdKH68aJY3hEI5WH6On7yMxKh_WR0fl2s3DfHGeardy89i2XQyYUOV--ZTrf5JSirdfQpOmVqR5VGa7WDz9odx0DtfV1CdfrBCbzvLkcbZ9y6I72Gigcpq_e-EOw-Ijfm1MKTban1Ie8N9w8vnBVxeqECNVNV-m7YbMKf2l3q7lnuxEkUfHIWGrTwmo3AF-e2SwAkftq_4k7AeZL7SHrMOL5Os.EiATbAVeE_cUg4zjhWZu3QGknyZGsiiLt2UbqH6XoTQ&dib_tag=se&keywords=Sheets%2B%26%2BPillowcases&qid=1757595270&refinements=p_36%3A11500-&rnid=386465011&s=bedbath&sr=1-5&ts_id=1063274&th=1&linkCode=ll1&tag=homeprinciple-20&linkId=b806327febb3756c25052df4682bea8d&language=en_US&ref_=as_li_ss_tl,Boll & Branch,279,,10,"Sep 10, 2025 09:59 GMT+47","Apr 25, 2026 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.15QF05IQYABW3&campaignId=amzn1.campaign.3EUZR6QQZZONT
amazon associates,https://www.amazon.com/dp/B0CBBN1MS4?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3EUZR6QQZZONT&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3EUZR6QQZZONT_1757595854446,California Design Den,91,6,10,"Sep 10, 2025 09:59 GMT+48","Oct 16, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.15QF05IQYABW3&campaignId=amzn1.campaign.3EUZR6QQZZONT
amazon associates,https://www.amazon.com/dp/B0DB5KP631?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3EUZR6QQZZONT&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3EUZR6QQZZONT_1757595871700,California Design Den,99,10,10,"Sep 10, 2025 09:59 GMT+49","Oct 16, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.15QF05IQYABW3&campaignId=amzn1.campaign.3EUZR6QQZZONT
amazon associates,https://www.amazon.com/dp/B0BJFNXKX3?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757596116349,Boll & Branch,379,,10,"Sep 10, 2025 09:59 GMT+50","Apr 25, 2026 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD2
amazon associates,https://www.amazon.com/dp/B0BHZT4MBX?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757596185566,Boll & Branch,329,,10,"Sep 10, 2025 09:59 GMT+51","Apr 25, 2026 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD2
amazon associates,https://www.amazon.com/dp/B0CS9R212N?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.2D36SCEUF8IN1&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.2D36SCEUF8IN1_1757854521453,California Design Den,114.99,,10,"Sep 10, 2025 09:59 GMT+52","Oct 15, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.33JQ1MXJT9J8G&campaignId=amzn1.campaign.2D36SCEUF8IN1
amazon associates,https://www.amazon.com/dp/B0CS9RQTFC?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.2D36SCEUF8IN1&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.2D36SCEUF8IN1_1757854568771,California Design Den,129,10,10,"Sep 10, 2025 09:59 GMT+53","Oct 15, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.33JQ1MXJT9J8G&campaignId=amzn1.campaign.2D36SCEUF8IN1
amazon associates,https://www.amazon.com/dp/B0CZ7KBRPT?th=1&linkCode=ll1&tag=homeprinciple-20&linkId=ca1a723e1484ea591e33459d720ba9c8&language=en_US&ref_=as_li_ss_tl,Whisper Organics,115,,15,"Nov 6, 2025 10:00 GMT+2","Feb 27, 2026 09:59 GMT+2",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.1IR1JYTY3M7EK&campaignId=amzn1.campaign.1IR1JYTY3M7EK&recc=0&early-acc=0
amazon associates,https://www.amazon.com/dp/B0CXN6D9PG?th=1&linkCode=ll1&tag=homeprinciple-20&linkId=afd3a20bd3eeb107a5e4603286d10e83&language=en_US&ref_=as_li_ss_tl,Whisper Organics,230,,15,"Nov 6, 2025 10:00 GMT+2","Feb 27, 2026 09:59 GMT+2",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.1IR1JYTY3M7EK&campaignId=amzn1.campaign.1IR1JYTY3M7EK&recc=0&early-acc=0
amazon associates,https://www.amazon.com/dp/B0B2PZ4FKX?th=1&linkCode=ll1&tag=homeprinciple-20&linkId=f998cae708d5c9c4f644a943ac7f6d23&language=en_US&ref_=as_li_ss_tl,Whisper Organics,174,,15,"Nov 6, 2025 10:00 GMT+2","Feb 27, 2026 09:59 GMT+2",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.1IR1JYTY3M7EK&campaignId=amzn1.campaign.1IR1JYTY3M7EK&recc=0&early-acc=0
amazon associates,https://www.amazon.com/dp/B0B2PZ4FKX?th=1&linkCode=ll1&tag=homeprinciple-20&linkId=f998cae708d5c9c4f644a943ac7f6d23&language=en_US&ref_=as_li_ss_tl,Whisper Organics,99,,15,"Nov 6, 2025 10:00 GMT+2","Feb 27, 2026 09:59 GMT+2",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.1IR1JYTY3M7EK&campaignId=amzn1.campaign.1IR1JYTY3M7EK&recc=0&early-acc=0
